Exam Name,Exam Date,Class,Publish Results,Status
Mid Semester Exam,15-09-2026,BBA(CA)-Sem1,No,Active
Mid Semester Exam,16-09-2026,BBA(CA)-Sem2,No,Active
Mid Semester Exam,17-09-2026,BBA(CA)-Sem3,No,Active
Mid Semester Exam,18-09-2026,BBA(CA)-Sem4,No,Active
Final Semester Exam,10-12-2026,BBA(CA)-Sem1,Yes,Active
Final Semester Exam,11-12-2026,BBA(CA)-Sem2,Yes,Active
Final Semester Exam,12-12-2026,BBA(CA)-Sem3,Yes,Active
Final Semester Exam,13-12-2026,BBA(CA)-Sem4,Yes,Active
Unit Test 1,20-07-2026,BBA(CA)-Sem1,No,Active
Unit Test 2,20-08-2026,BBA(CA)-Sem1,No,Active
